2021-05-24 18:15:54,064 [AUDIT] Token created by 'jffe@000': tokenId='b83e1fe0-f1b8-4785-871d-b4036566f969', issuer='jffe@000', subject='jffe@000', expiry=1621880754064, refreshable=false
2021-05-24 18:15:54,072 [AUDIT] Token created by 'jffe@000': tokenId='a98e4f22-3b71-4cc4-873b-bf597c092dd9', issuer='jffe@000', subject='jffe@000', expiry=1621880754071, refreshable=false
2021-05-24 18:15:54,086 [AUDIT] Token created by 'jffe@000': tokenId='ce0997ab-3969-4c21-b270-8eee805645be', issuer='jffe@000', subject='jffe@000', expiry=1621880754072, refreshable=false
2021-05-24 18:25:54,153 [AUDIT] Token created by 'jffe@000': tokenId='0efa03e5-9a41-4e4f-ad8b-46d530816686', issuer='jffe@000', subject='jffe@000', expiry=1621881354153, refreshable=false
2021-05-24 18:25:54,157 [AUDIT] Token created by 'jffe@000': tokenId='4e31c549-440b-4987-b0bb-994d792c307e', issuer='jffe@000', subject='jffe@000', expiry=1621881354157, refreshable=false
2021-05-24 18:25:54,160 [AUDIT] Token created by 'jffe@000': tokenId='3600dd01-4d8b-4d5b-8e72-834b3f328164', issuer='jffe@000', subject='jffe@000', expiry=1621881354160, refreshable=false
2021-05-24 18:25:54,162 [AUDIT] Token created by 'jffe@000': tokenId='9072a485-0494-41c2-9d7f-9299c5f293dc', issuer='jffe@000', subject='jffe@000', expiry=1621881354162, refreshable=false
2021-05-24 18:35:54,217 [AUDIT] Token created by 'jffe@000': tokenId='6afde5bd-71a1-4491-84a2-b32d9dee347d', issuer='jffe@000', subject='jffe@000', expiry=1621881954217, refreshable=false
2021-05-24 18:35:54,218 [AUDIT] Token created by 'jffe@000': tokenId='35504cf8-3a82-45c1-90e5-142ba8bccc18', issuer='jffe@000', subject='jffe@000', expiry=1621881954217, refreshable=false
2021-05-24 18:35:54,219 [AUDIT] Token created by 'jffe@000': tokenId='b6ae85aa-db2e-4e2d-8f88-c19eea177ec6', issuer='jffe@000', subject='jffe@000', expiry=1621881954217, refreshable=false
2021-05-24 18:35:54,231 [AUDIT] Token created by 'jffe@000': tokenId='ec4a81d0-4f28-4e64-acc8-8e24eb7ea65e', issuer='jffe@000', subject='jffe@000', expiry=1621881954231, refreshable=false
